PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
,20260602,,1,1,"Brooks, Tyler",,Right,BRK_BAN,"Doyle, Hunter",,Right,CON_RIV,,1,Top,0,0,0,Four-Seam,Four-Seam,StrikeCalled,,,,,,,93.2,,,2265,26.0,,5.76,1.9,6.13,,17.9,8.7,3.05,0.1,,-5.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,1,2,"Brooks, Tyler",,Right,BRK_BAN,"Doyle, Hunter",,Right,CON_RIV,,1,Top,0,0,1,Four-Seam,Four-Seam,InPlay,,FlyBall,Out,1,,,93.0,,,2119,23.2,,6.05,2.09,6.31,,17.5,7.5,2.92,-0.11,,-5.7,1.9,,89.0,33.2,5.9,,,,,181.8,181.8,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,FlyBall,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,2,1,"Brooks, Tyler",,Right,BRK_BAN,"Sorensen, Blake",,Right,CON_RIV,,1,Top,1,0,0,Four-Seam,Four-Seam,BallCalled,,,,,,,92.9,,,2323,23.1,,5.68,1.92,6.29,,17.6,7.5,2.53,-0.92,,-6.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,2,2,"Brooks, Tyler",,Right,BRK_BAN,"Sorensen, Blake",,Right,CON_RIV,,1,Top,1,1,0,Slider,Slider,BallCalled,,,,,,,84.2,,,2452,303.9,,5.71,1.87,6.2,,3.8,-5.7,1.58,-0.52,,-3.9,-0.6,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,2,3,"Brooks, Tyler",,Right,BRK_BAN,"Sorensen, Blake",,Right,CON_RIV,,1,Top,1,2,0,Four-Seam,Four-Seam,BallCalled,,,,,,,94.6,,,2128,18.9,,5.58,1.92,6.49,,16.2,5.6,1.32,0.36,,-6.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,2,4,"Brooks, Tyler",,Right,BRK_BAN,"Sorensen, Blake",,Right,CON_RIV,,1,Top,1,3,0,Four-Seam,Four-Seam,StrikeCalled,,,,,,,93.5,,,2266,27.6,,5.84,1.91,6.1,,13.5,7.1,3.12,0.01,,-6.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,2,5,"Brooks, Tyler",,Right,BRK_BAN,"Sorensen, Blake",,Right,CON_RIV,,1,Top,1,3,1,Four-Seam,Four-Seam,InPlay,,GroundBall,Triple,,,,93.9,,,2213,26.8,,5.68,1.95,6.58,,15.2,7.7,2.73,-1.04,,-5.5,0.7,,88.6,3.4,-33.4,,,,,336.7,336.7,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,GroundBall,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,3,1,"Brooks, Tyler",,Right,BRK_BAN,"Marsh, Eli",,Left,CON_RIV,,1,Top,1,0,0,Changeup,Changeup,InPlay,,LineDrive,Double,,,,84.3,,,1871,44.5,,5.91,1.94,5.8,,10.6,10.4,1.91,0.18,,-6.4,1.2,,87.1,16.3,20.1,,,,,305.6,305.6,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,LineDrive,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,4,1,"Brooks, Tyler",,Right,BRK_BAN,"Delgado, Marcus",,Right,CON_RIV,,1,Top,1,0,0,Four-Seam,Four-Seam,StrikeCalled,,,,,,,94.3,,,2191,24.1,,5.87,1.96,6.09,,17.1,7.7,3.36,0.48,,-6.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20260602,,4,2,"Brooks, Tyler",,Right,BRK_BAN,"Delgado, Marcus",,Right,CON_RIV,,1,Top,1,0,1,Four-Seam,Four-Seam,StrikeSwinging,,,,,,,93.9,,,2240,19.7,,6.08,1.91,6.24,,18.6,6.7,2.21,0.91,,-6.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,BRK_BAN,CON_RIV,BanditsBallpark,,,20260602-BanditsBallpark-1,,,,,,,,,,,,,,,,,,,,,,"Boyd, Marcus",,Right,BRK_BAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
